Date,Open,High,Low,Close,Volume,Adj Close
10/6/14,259.130005,265.540009,235.199997,236.910004,7500700,236.910004
10/13/14,238.570007,238.960007,217.320007,227.479996,8694000,227.479996
10/20/14,226.720001,237.800003,225.509995,235.240005,3739400,235.240005
10/27/14,234.25,244.600006,220.309998,241.699997,6407100,241.699997
11/3/14,243,247.559998,228.5,240.199997,7489600,240.199997
11/10/14,239.110001,258.850006,236.800003,258.679993,6146700,258.679993
11/17/14,257.48999,259.98999,242.169998,242.779999,5497900,242.779999
11/24/14,245.199997,249.720001,240.639999,244.520004,3012600,244.520004
12/1/14,241.160004,242.470001,222.259995,223.710007,5946600,223.710007
12/8/14,221.539993,224.860001,204.270004,207,7967800,207
12/15/14,209.289993,220.399994,192.649994,219.289993,7081200,219.289993
12/22/14,220,228.5,218.259995,227.820007,3491000,227.820007
12/29/14,226.899994,227.910004,213.259995,219.309998,3191900,219.309998
1/5/15,214.550003,216.5,204.210007,206.660004,4541900,206.660004
1/12/15,203.050003,207.610001,185,193.070007,6152200,193.070007
1/20/15,193.869995,203.5,187.039993,201.289993,4052900,201.289993
1/26/15,201.830002,208.619995,196.5,203.600006,3144000,203.600006
2/2/15,203.970001,225.479996,203.300003,217.360001,3809500,217.360001
2/9/15,215.380005,220.5,193.279999,203.770004,8094500,203.770004
2/17/15,205.699997,217.600006,201.5,217.110001,4457300,217.110001
2/23/15,215.660004,218.199997,201.699997,203.339996,5873500,203.339996
3/2/15,202.699997,206.190002,192.149994,193.880005,5633100,193.880005
3/9/15,194.389999,196.179993,187.320007,188.679993,5374900,188.679993
3/16/15,192,204.589996,189.800003,198.080002,5617700,198.080002
3/23/15,198.5,203.789993,181.399994,185,4948900,185
3/30/15,185.850006,193.759995,181.800003,191,5980200,191
4/6/15,198,211.649994,197.5,210.899994,6194900,210.899994
4/13/15,210.440002,213,203.5,206.789993,2573100,206.789993
4/20/15,206.779999,221.880005,203.850006,218.429993,4138700,218.429993
4/27/15,222.559998,238.75,220.410004,226.029999,6177500,226.029999
5/4/15,228.179993,239.5,220.25,236.610001,5925300,236.610001
5/11/15,236.289993,249.399994,235.309998,248.839996,4979800,248.839996
5/18/15,247,251,241.369995,247.729996,2995300,247.729996
5/26/15,247.679993,252.869995,245.050003,250.800003,3585800,250.800003
6/1/15,251.410004,251.600006,245.679993,249.139999,2378200,249.139999
6/8/15,250.850006,258.75,248.5,250.690002,2909800,250.690002
6/15/15,249.699997,264.359985,246.009995,262.51001,2985900,262.51001
6/22/15,262.149994,271.410004,255.690002,267.089996,3506300,267.089996
6/29/15,261.950012,282.450012,260.700012,280.019989,3957700,280.019989
7/6/15,278.880005,281.690002,254.309998,259.149994,4476800,259.149994
7/13/15,262.25,275.540009,256.049988,274.660004,2701900,274.660004
7/20/15,275,286.649994,260.859985,265.410004,3851100,265.410004
7/27/15,262.429993,269.359985,250.789993,266.149994,3127400,266.149994
8/3/15,266.290009,271,236.119995,242.509995,6163500,242.509995
8/10/15,238.149994,247.929993,232.740005,243.149994,4246500,243.149994
