"","pos","last.week","peak","weeks.on.chart","title","artist","chart.entry.date","entry.position","overall.peak","overall.weeks.on.chart","chart.date","concurrent.count","artist.relevancy"
"248",48,"47",44,15,"Sun Daze","FLORIDA GEORGIA LINE",41958,95,44,17,20150221,0,11
"249",49,"52",49,13,"Make Me Wanna","THOMAS RHETT",41972,99,43,15,20150221,0,5
"250",50,"51",31,12,"Night Changes","ONE DIRECTION",41979,55,31,14,20150221,0,19
"251",51,"48",48,10,"Lonely Tonight","BLAKE SHELTON featuring ASHLEY MONROE",41993,95,47,12,20150221,0,1
"252",52,"53",40,11,"Sledgehammer","FIFTH HARMONY",41986,93,40,13,20150221,0,4
"253",53,"28",12,11,"The Hanging Tree","JAMES NEWTON HOWARD featuring JENNIFER LAWRENCE",41986,12,12,13,20150221,0,1
"254",54,"101",54,1,"Blessings","BIG SEAN featuring DRAKE",42056,54,53,3,20150221,0,1
"255",55,"45",32,11,"I Lived","ONEREPUBLIC",41986,71,32,13,20150221,0,8
"256",56,"42",31,19,"Heroes (We Could Be)","ALESSO featuring TOVE LO",41930,89,31,20,20150221,0,1
"257",57,"46",43,16,"Talladega","ERIC CHURCH",41951,90,43,18,20150221,0,13
"258",58,"65",58,8,"Apparently","J. COLE",42007,90,58,10,20150221,0,10
"259",59,"76",59,3,"Somebody","NATALIE LA ROSE featuring JEREMIH",42042,94,27,5,20150221,0,1
"260",60,"72",60,3,"Trap Queen","FETTY WAP",42042,86,35,5,20150221,0,1
"261",61,"58",43,8,"Feeling Myself","NICKI MINAJ featuring BEYONCE",42007,43,43,10,20150221,0,1
"262",62,"59",59,10,"Just Gettin' Started","JASON ALDEAN",41993,94,59,12,20150221,0,18
"263",63,"54",54,12,"I Bet My Life","IMAGINE DRAGONS",41979,72,28,14,20150221,0,7
"264",64,"61",60,17,"Drinking Class","LEE BRICE",41944,99,60,19,20150221,0,7
"265",65,"66",65,14,"Mean To Me","BRETT ELDREDGE",41965,95,57,16,20150221,0,3
"266",66,"63",63,11,"Shut Up And Dance","WALK THE MOON",41986,88,48,13,20150221,0,2
"267",67,"64",59,17,"Often","THE WEEKND",41944,97,59,19,20150221,0,6
"268",68,"62",62,10,"Like A Cowboy","RANDY HOUSER",41993,98,62,12,20150221,0,4
"269",69,"68",68,2,"Only One","KANYE WEST featuring PAUL McCARTNEY",42049,68,45,4,20150221,0,1
"270",70,"69",69,6,"Ain't Worth The Whiskey","COLE SWINDELL",42021,99,59,8,20150221,0,3
"271",71,"60",45,16,"Try Me","DEJ LOAF",41951,67,45,18,20150221,0,1
"272",72,"73",48,4,"Homegrown","ZAC BROWN BAND",42035,48,48,6,20150221,0,12
